graph,num_rows,num_cols,nnz,avg_degree,ms_t1,ms_t2,ms_t4,ms_t8,ms_t16,ms_t32,speedup_t2,speedup_t4,speedup_t8,speedup_t16,speedup_t32
chesapeake,39,39,340,8.71795,0.002018,0.001834,0.002864,0.009278,0.004159,0.008017,1.10033,0.704609,0.217504,0.485213,0.251715
hollywood-2009,1139905,1139905,113891327,99.913,264.33,132.915,67.9387,35.3963,19.03,16.1455,1.98871,3.89071,7.46772,13.8902,16.3718
ldoor,952203,952203,46522475,48.8577,72.6394,39.9176,20.3145,10.1809,6.59885,6.25137,1.81973,3.57574,7.13486,11.0079,11.6197
roadNet-CA,1971281,1971281,5533214,2.80691,21.5979,15.2737,8.66549,6.17751,3.48454,2.52494,1.41406,2.4924,3.49622,6.1982,8.55384
