graph,num_rows,num_cols,nnz,avg_degree,ms_t1,ms_t2,ms_t4,ms_t8,ms_t16,ms_t32,speedup_t2,speedup_t4,speedup_t8,speedup_t16,speedup_t32
chesapeake,39,39,340,8.71795,0.018702,0.014085,0.014163,0.014713,0.013427,0.013023,1.3278,1.32048,1.27112,1.39287,1.43607
hollywood-2009,1139905,1139905,113891327,99.913,375.357,134.643,69.0597,36.9498,20.5577,14.4064,2.78779,5.43525,10.1586,18.2587,26.0548
ldoor,952203,952203,46522475,48.8577,146.809,39.4975,19.7149,8.5236,4.51038,2.84683,3.71692,7.44662,17.2238,32.5492,51.5693
roadNet-CA,1971281,1971281,5533214,2.80691,59.4874,29.7026,14.7333,7.39959,3.72924,1.92387,2.00277,4.03761,8.03928,15.9516,30.9207
